yelp=# SELECT COUNT(DISTINCT business_id) cc, user_id
FROM review r
WHERE business_id IN
(SELECT business_id
FROM (
SELECT COUNT(r.review_id) c, r.business_id
FROM review r
JOIN business b ON r.business_id=b.business_id
JOIN business_category bc ON bc.business_id=b.id
WHERE bc.category_id=3
AND b.city = 'Las Vegas'
GROUP BY r.business_id
ORDER BY c DESC
LIMIT 100) t)
GROUP BY user_id
ORDER BY cc DESC LIMIT 500;
 cc |        user_id
----+------------------------
 56 | i8KMQX7nekLSCzb_DVb6yA
 56 | OaFcpi3W4AwxrD8W2pgC_A
 48 | Iu3Jo9ROp2IWC9FwtWOaUQ
 47 | h4RkUrmcsMc0VTUCdaY4_g
 47 | k5p3YP1ZjCa8ZS3xqXgBug
 46 | WmAyExqSWoiYZ5XEqpk_Uw
 44 | 5lq4LkrviYgQ4LJNsBYHcA
 40 | PV5voYSD43Cn_3gHmxG7DA
 40 | I3QDSkHyHUd3wlmRUb0eyg
 40 | ia1nTRAQEaFWv0cwADeK7g
 40 | XpxK7cAT4R3wQjHOZccasw
 37 | glRXVWWD6x1EZKfjJawTOg
 37 | O0vvS6arf6WlUfTOoczcEA
 34 | zTWH9b_ItSdLOK9ypeFOIw
 33 | 7x3-B0yaO_hqXm42VKStzw
 33 | CInFos81Gf4dkBJQL-1jGg
 31 | 0y9qZZLauQ3sPp-G-NcE7Q
 31 | OI-VGo5ij4TMHVw8xWrKNA
 29 | PuW93FmHmLaU1hrWOXrvjQ
 29 | lHHwLi_YZuDSfdlSShFkug
 29 | wezUxbvvLdnhT7v7D339fw
 27 | EjhVxYFeMUYimoImjMduzQ
 27 | 3KCu4c1IOZsUla9pqQc48A
 27 | vI7wZxTprpMl2fj_IHU3iQ
 27 | OAd-vbR_POac1zHtu-Y2Zg
 27 | P2FD7E392y01VcBVWli6og
 26 | f5vgLcoKpFcTvD4lOUxcTQ
 26 | FcUVfATxARfURHfZq1DNTg
 26 | xNb8pFe99ENj8BeMsCBPcQ
 26 | 17LPTsu4RgqTZ3SxsGzzxw
 26 | kGgAARL2UmvCcTRfiscjug
 25 | biifI-JRFI-2IfAA9TdZ-w
 25 | N7wNlo3_EaHUWHiFDyGh5g
 25 | Yz5sgWyDo8EmWQThEUPQXA
 24 | 2bAbL28lhrnyOlYiZ8yMdg
 24 | XWtoW-j52ld7Kl7hBwhxIA
 24 | XHkzCzmIAB3DnjQO7v6jww
 24 | KRI1kCT7SY6XMX9fBALQYA
 24 | LEL1_6acicC5d-HFZ02ZLQ
 24 | BT3AQK9b5oIAdVve3_Sh1Q
 24 | FbdB9KXyuvT8rC_zmqRSuQ
 23 | oOayyTrVO-PbVeXXsh_JEQ
 23 | 7CjXfvnVxL1OJO1Tboq01Q
 23 | yj4lNvmxAt42NvBCxB3WTw
 22 | QWUSAHFMf3JD23xWh0StoA
 22 | HsKPpfcATrQ5Bb0ab9VQNg
 22 | ND5rWQL7QwMXks59T0fO1A
 22 | qXMObUokAEAkgUqD7Oc9Dw
 22 | 3gIfcQq5KxAegwCPXc83cQ
 22 | WDWFOxsZrKC8kT2LBQ3BZg
 22 | xthFXWIoXm06OKgXj0ROCQ
 21 | vJUWfI4Eg7GD5xvTCcj7qQ
 21 | 23zYCcnqfru5jdxnTqjgDg
 21 | _jW1H29ZEcdjrCk9H4AheQ
 21 | FRAD3bSkZjdJF8KdyhdtIw
 21 | n0GH-IAovki1Zm6bA2fCrg
 21 | 5MhbO-FbPPRkM1G9oZsdOQ
 20 | RPn0Avnq-1syMwEYz7kPrQ
 20 | Zc4egf4Q_bN8-EUarnWRFg
 20 | ieaT3v0coUNrSqVgY342cw
 20 | HGWIasjq8h6GGNPRXhn3cw
 20 | Gq4w2uGhjP1HLAGdYefcIA
 20 | M3_R93ma7W7bB0xB3mOW3w
 20 | BpZ-Apl_2ZodZLgJ7Xupsg
 20 | JRdTRHchEWH_qba8Y8P6cQ
 20 | iKZ7xmxDUfQHCbbZYFylbg
 20 | cAwK3BH07Yq4ME9pIzs-Xw
 20 | jINbhO0tD7505n_FxmOnhQ
 20 | yf12P_T0AKLNzFt12zj16g
 20 | zs_GJibScPz5Cbz1hoNanQ
 20 | DumgEI1hiLXyb7T_joYl3w
 19 | ifFTbGgwjXALO1PgMHzrTQ
 19 | huKYBfeFtYCOWs4I-GESSw
 19 | Lak_dFs8cEFJkS5aC9owGw
 19 | knZduWPnQA0kQ9Rrq4lUhg
 19 | e8xySFEt090GxyMLrZVRsQ
 19 | tG617w0ik9wClcfSE0JmWQ
 19 | cXxq1RHFXUKAkZ2-CGQcpg
 19 | -K3ZjROK0ml2P-Rk7ttHzA
 19 | D8wdpaUA7cK73VEZ-Y6omA
 19 | IBJwYcDz-bgc2zd9IyN7bA
 18 | 6l_ATA06SBvvPDMvMiKQgw
 18 | 2D6BQW5muitfWyaWq3rC7w
 18 | UuN2gbH6_vhWJCp3NkS29Q
 18 | mgViQiuQG_3d2CmLTNW9rA
 18 | G3NuvANiCbBi3qm9OnYc-A
 18 | Xd_gK-S3bep9iJAJKZonSg
